"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
73403010	"SWEET POTATO, BAKED, PEEL NOT EATEN, FAT NOT ADDED IN COOKIN"	"Sweet potato, baked, peel not eaten, fat not added in cooking"
73403020	"SWEET POTATO, BAKED, PEEL NOT EATEN, FAT ADDED IN COOKING, N"	"Sweet potato, baked, peel not eaten, fat added in cooking, NS as to type of fat"
73403021	"SWEET POTATO, BAKED, PEEL NOT EATEN, MADE WITH OIL"	"Sweet potato, baked, peel not eaten, made with oil"
73403022	"SWEET POTATO, BAKED, PEEL NOT EATEN, MADE WITH BUTTER"	"Sweet potato, baked, peel not eaten, made with butter"
73403023	"SWEET POTATO, BAKED, PEEL NOT EATEN, MADE WITH MARGARINE"	"Sweet potato, baked, peel not eaten, made with margarine"
73405000	"SWEET POTATO, BOILED, NS AS TO FAT ADDED IN COOKING"	"Sweet potato, boiled, NS as to fat added in cooking"
73405010	"SWEET POTATO, BOILED, FAT NOT ADDED IN COOKING"	"Sweet potato, boiled, fat not added in cooking"
73405020	"SWEET POTATO, BOILED, FAT ADDED IN COOKING, NS AS TO TYPE OF"	"Sweet potato, boiled, fat added in cooking, NS as to type of fat"
73405021	"SWEET POTATO, BOILED, MADE WITH OIL"	"Sweet potato, boiled, made with oil"
73405022	"SWEET POTATO, BOILED, MADE WITH BUTTER"	"Sweet potato, boiled, made with butter"
73405023	"SWEET POTATO, BOILED, MADE WITH MARGARINE"	"Sweet potato, boiled, made with margarine"
73406000	"SWEET POTATO, CANDIED"	"Sweet potato, candied"
73407000	"SWEET POTATO, CANNED, NS AS TO FAT ADDED IN COOKING"	"Sweet potato, canned, NS as to fat added in cooking"
73407050	"SWEET POTATO, CANNED, FAT NOT ADDED IN COOKING"	"Sweet potato, canned, fat not added in cooking"
