"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
11710374	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (SIM"	"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)"
11710375	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)"
11710376	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (SI"	"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)"
11710377	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC SENSITI"	"Infant formula, powder, made with tap water (Similac Sensitive)"
11710378	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Sensitive)"
11710379	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC SENSIT"	"Infant formula, powder, made with baby water (Similac Sensitive)"
11710380	"INFANT FORMULA, NS AS TO FORM (SIMILAC FOR SPIT-UP)"	"Infant formula, NS as to form (Similac for Spit-Up)"
11710381	"INFANT FORMULA, READY-TO-FEED (SIMILAC FOR SPIT-UP)"	"Infant formula, ready-to-feed (Similac for Spit-Up)"
11710383	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC FOR SP"	"Infant formula, powder, made with water, NFS (Similac for Spit-Up)"
11710470	"INFANT FORMULA, NS AS TO FORM (SIMILAC EXPERT CARE NEOSURE)"	"Infant formula, NS as to form (Similac Expert Care NeoSure)"
11710471	"INFANT FORMULA, READY-TO-FEED (SIMILAC EXPERT CARE NEOSURE)"	"Infant formula, ready-to-feed (Similac Expert Care NeoSure)"
11710473	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC EXPERT"	"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)"
11710477	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC EXPERT"	"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)"
11710478	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)"
11710479	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC EXPERT"	"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)"
11710480	"INFANT FORMULA, NS AS TO FORM (SIMILAC GO AND GROW)"	"Infant formula, NS as to form (Similac Go and Grow)"
11710481	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC GO AND"	"Infant formula, powder, made with water, NFS (Similac Go and Grow)"
11710620	"INFANT FORMULA, NS AS TO FORM (ENFAMIL NEWBORN)"	"Infant formula, NS as to form (Enfamil Newborn)"
11710621	"INFANT FORMULA, READY-TO-FEED (ENFAMIL NEWBORN)"	"Infant formula, ready-to-feed (Enfamil Newborn)"
11710626	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL NEWBOR"	"Infant formula, powder, made with water, NFS (Enfamil Newborn)"
11710627	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL NEWBORN"	"Infant formula, powder, made with tap water (Enfamil Newborn)"
11710628	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil Newborn)"
11710629	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL NEWBOR"	"Infant formula, powder, made with baby water (Enfamil Newborn)"
11710630	"INFANT FORMULA, NS AS TO FORM (ENFAMIL INFANT)"	"Infant formula, NS as to form (Enfamil Infant)"
11710631	"INFANT FORMULA, READY-TO-FEED (ENFAMIL INFANT)"	"Infant formula, ready-to-feed (Enfamil Infant)"
11710632	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (EN"	"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)"
11710633	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (ENF"	"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)"
11710634	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)"
11710635	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (EN"	"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)"
11710636	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL INFANT"	"Infant formula, powder, made with water, NFS (Enfamil Infant)"
11710637	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL INFANT)"	"Infant formula, powder, made with tap water (Enfamil Infant)"
11710638	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil Infant)"
11710639	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL INFANT"	"Infant formula, powder, made with baby water (Enfamil Infant)"
11710660	"INFANT FORMULA, NS AS TO FORM (ENFAMIL A.R.)"	"Infant formula, NS as to form (Enfamil A.R.)"
11710661	"INFANT FORMULA, READY-TO-FEED (ENFAMIL A.R.)"	"Infant formula, ready-to-feed (Enfamil A.R.)"
11710663	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL A.R.)"	"Infant formula, powder, made with water, NFS (Enfamil A.R.)"
11710664	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL A.R.)"	"Infant formula, powder, made with tap water (Enfamil A.R.)"
11710665	"INFANT FORMULA, NS AS TO FORM (ENFAMIL ENFACARE)"	"Infant formula, NS as to form (Enfamil EnfaCare)"
11710666	"INFANT FORMULA, READY-TO-FEED (ENFAMIL ENFACARE)"	"Infant formula, ready-to-feed (Enfamil EnfaCare)"
11710667	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL ENFACA"	"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)"
11710668	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil A.R.)"
11710669	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL A.R.)"	"Infant formula, powder, made with baby water (Enfamil A.R.)"
11710670	"INFANT FORMULA, NS AS TO FORM (ENFAMIL GENTLEASE)"	"Infant formula, NS as to form (Enfamil Gentlease)"
11710671	"INFANT FORMULA, READY-TO-FEED (ENFAMIL GENTLEASE)"	"Infant formula, ready-to-feed (Enfamil Gentlease)"
11710673	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL GENTLE"	"Infant formula, powder, made with water, NFS (Enfamil Gentlease)"
11710674	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL ENFACAR"	"Infant formula, powder, made with tap water (Enfamil EnfaCare)"
11710675	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)"
11710676	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL ENFACA"	"Infant formula, powder, made with baby water (Enfamil EnfaCare)"
11710677	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL GENTLEA"	"Infant formula, powder, made with tap water (Enfamil Gentlease)"
11710678	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)"
11710679	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL GENTLE"	"Infant formula, powder, made with baby water (Enfamil Gentlease)"
11710680	"INFANT FORMULA, NS AS TO FORM (ENFAMIL ENFAGROW TODDLER TRAN"	"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)"
11710681	"INFANT FORMULA, READY-TO-FEED (ENFAMIL ENFRAGROW TODDLER TRA"	"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)"
11710683	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL ENFRAG"	"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)"
11710687	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL ENFAGRO"	"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)"
11710688	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)"
11710689	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL ENFAGR"	"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)"
11710690	"INFANT FORMULA, NS AS TO FORM (ENFAMIL ENFAGROW TODDLER TRAN"	"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)"
11710693	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL ENFAGR"	"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)"
11710697	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL ENFAGRO"	"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)"
11710698	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)"
11710699	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL ENFAGR"	"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)"
11710800	"INFANT FORMULA, NS AS TO FORM (PEDIASURE)"	"Infant formula, NS as to form (PediaSure)"
11710801	"INFANT FORMULA, READY-TO-FEED (PEDIASURE)"	"Infant formula, ready-to-feed (PediaSure)"
11710805	"INFANT FORMULA, WITH FIBER, NS AS TO FORM (PEDIASURE FIBER)"	"Infant formula, with fiber, NS as to form (PediaSure Fiber)"
11710806	"INFANT FORMULA, WITH FIBER, READY-TO-FEED (PEDIASURE FIBER)"	"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)"
11710910	"INFANT FORMULA, NS AS TO FORM (GERBER GOOD START GENTLE)"	"Infant formula, NS as to form (Gerber Good Start Gentle)"
11710911	"INFANT FORMULA, READY-TO-FEED (GERBER GOOD START GENTLE)"	"Infant formula, ready-to-feed (Gerber Good Start Gentle)"
11710912	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (GE"	"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)"
11710913	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (GERBER GOOD ST"	"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)"
11710914	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (GER"	"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)"
11710915	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)"
11710916	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (GE"	"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)"
11710917	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (GERBER GOOD STA"	"Infant formula, powder, made with tap water (Gerber Good Start Gentle)"
11710918	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (GERBE"	"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)"
11710919	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (GERBER GOOD ST"	"Infant formula, powder, made with baby water (Gerber Good Start Gentle)"
11710920	"INFANT FORMULA, NS AS TO FORM (GERBER GOOD START PROTECT)"	"Infant formula, NS as to form (Gerber Good Start Protect)"
11710923	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (GERBER GOOD ST"	"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)"
11710927	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (GERBER GOOD STA"	"Infant formula, powder, made with tap water (Gerber Good Start Protect)"
11710928	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (GERBE"	"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)"
11710929	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (GERBER GOOD ST"	"Infant formula, powder, made with baby water (Gerber Good Start Protect)"
11710930	"INFANT FORMULA, NS AS TO FORM (GERBER GRADUATES GENTLE)"	"Infant formula, NS as to form (Gerber Graduates Gentle)"
11710940	"INFANT FORMULA, NS AS TO FORM (GERBER GRADUATES PROTECT)"	"Infant formula, NS as to form (Gerber Graduates Protect)"
11710960	"INFANT FORMULA, NS AS TO FORM (STORE BRAND)"	"Infant formula, NS as to form (Store Brand)"
11710961	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (ST"	"Infant formula, liquid concentrate, made with water, NFS (Store Brand)"
11710962	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (STORE BRAND)"	"Infant formula, powder, made with water, NFS (Store Brand)"
11710963	"INFANT FORMULA, READY-TO-FEED (STORE BRAND)"	"Infant formula, ready-to-feed (Store Brand)"
11710964	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (STO"	"Infant formula, liquid concentrate, made with tap water (Store Brand)"
11710965	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)"
11710966	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (ST"	"Infant formula, liquid concentrate, made with baby water (Store Brand)"
11710967	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (STORE BRAND)"	"Infant formula, powder, made with tap water (Store Brand)"
11710968	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (STORE"	"Infant formula, powder, made with plain bottled water (Store Brand)"
11710969	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (STORE BRAND)"	"Infant formula, powder, made with baby water (Store Brand)"
11720310	"INFANT FORMULA, NS AS TO FORM (ENFAMIL PROSOBEE)"	"Infant formula, NS as to form (Enfamil ProSobee)"
11720311	"INFANT FORMULA, READY-TO-FEED (ENFAMIL PROSOBEE)"	"Infant formula, ready-to-feed (Enfamil ProSobee)"
11720312	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (EN"	"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)"
11720313	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL PROSOB"	"Infant formula, powder, made with water, NFS (Enfamil ProSobee)"
11720314	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (ENF"	"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)"
11720315	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)"
11720316	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (EN"	"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)"
11720317	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (ENFAMIL PROSOBE"	"Infant formula, powder, made with tap water (Enfamil ProSobee)"
11720318	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (ENFAM"	"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)"
11720319	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (ENFAMIL PROSOB"	"Infant formula, powder, made with baby water (Enfamil ProSobee)"
11720320	"INFANT FORMULA, NS AS TO FORM (ENFAMIL ENFAGROW TODDLER TRAN"	"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)"
11720323	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL ENFAGR"	"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)"
11720410	"INFANT FORMULA, NS AS TO FORM (SIMILAC ISOMIL SOY)"	"Infant formula, NS as to form (Similac Isomil Soy)"
11720411	"INFANT FORMULA, READY-TO-FEED (SIMILAC ISOMIL SOY)"	"Infant formula, ready-to-feed (Similac Isomil Soy)"
11720412	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (SI"	"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)"
11720413	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC ISOMIL"	"Infant formula, powder, made with water, NFS (Similac Isomil Soy)"
11720414	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (SIM"	"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)"
11720415	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)"
11720416	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (SI"	"Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)"
11720417	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC ISOMIL"	"Infant formula, powder, made with tap water (Similac Isomil Soy)"
11720418	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)"
11720419	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC ISOMIL"	"Infant formula, powder, made with baby water (Similac Isomil Soy)"
11720430	"INFANT FORMULA, NS AS TO FORM (SIMILAC EXPERT CARE FOR DIARR"	"Infant formula, NS as to form (Similac Expert Care for Diarrhea)"
11720431	"INFANT FORMULA, READY-TO-FEED (SIMILAC EXPERT CARE FOR DIARR"	"Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)"
11720610	"INFANT FORMULA, NS AS TO FORM (GERBER GOOD START SOY)"	"Infant formula, NS as to form (Gerber Good Start Soy)"
11720611	"INFANT FORMULA, READY-TO-FEED (GERBER GOOD START SOY)"	"Infant formula, ready-to-feed (Gerber Good Start Soy)"
11720612	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (GE"	"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)"
11720613	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (GERBER GOOD ST"	"Infant formula, powder, made with water, NFS (Gerber Good Start Soy)"
11720614	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (GER"	"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)"
11720615	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)"
11720616	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (GE"	"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)"
11720617	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (GERBER GOOD STA"	"Infant formula, powder, made with tap water (Gerber Good Start Soy)"
11720618	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (GERBE"	"Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)"
11720619	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (GERBER GOOD ST"	"Infant formula, powder, made with baby water (Gerber Good Start Soy)"
11720620	"INFANT FORMULA, NS AS TO FORM (GERBER GRADUATES SOY)"	"Infant formula, NS as to form (Gerber Graduates Soy)"
11720800	"INFANT FORMULA, NS AS TO FORM (STORE BRAND SOY)"	"Infant formula, NS as to form (Store Brand Soy)"
11720801	"INFANT FORMULA, READY-TO-FEED (STORE BRAND SOY)"	"Infant formula, ready-to-feed (Store brand Soy)"
11720802	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (ST"	"Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)"
11720803	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (STORE BRAND SO"	"Infant formula, powder, made with water, NFS (Store Brand Soy)"
11720807	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (STORE BRAND SOY"	"Infant formula, powder, made with tap water (Store Brand Soy)"
11720808	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (STORE"	"Infant formula, powder, made with plain bottled water (Store Brand Soy)"
11720809	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (STORE BRAND SO"	"Infant formula, powder, made with baby water (Store Brand Soy)"
11740310	"INFANT FORMULA, NS AS TO FORM (ENFAMIL NUTRAMIGEN)"	"Infant formula, NS as to form (Enfamil Nutramigen)"
11740311	"INFANT FORMULA, READY-TO-FEED (ENFAMIL NUTRAMIGEN)"	"Infant formula, ready-to-feed (Enfamil Nutramigen)"
11740312	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (EN"	"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)"
11740313	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL NUTRAM"	"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)"
11740320	"INFANT FORMULA, NS AS TO FORM (PURAMINO)"	"Infant formula, NS as to form (PurAmino)"
11740323	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (PURAMINO)"	"Infant formula, powder, made with water, NFS (PurAmino)"
11740400	"INFANT FORMULA, NS AS TO FORM (ENFAMIL PREGESTIMIL)"	"Infant formula, NS as to form (Enfamil Pregestimil)"
11740401	"INFANT FORMULA, READY-TO-FEED (ENFAMIL PREGESTIMIL)"	"Infant formula, ready-to-feed (Enfamil Pregestimil)"
11740403	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (ENFAMIL PREGES"	"Infant formula, powder, made with water, NFS (Enfamil Pregestimil)"
11740511	"INFANT FORMULA, READY-TO-FEED, LOW IRON (ENFAMIL PREMATURE 2"	"Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)"
11740521	"INFANT FORMULA, READY-TO-FEED, WITH IRON (ENFAMIL PREMATURE"	"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)"
11810000	"MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT CONTENT"	"Milk, dry, not reconstituted, NS as to fat content"
11811000	"MILK, DRY, NOT RECONSTITUTED, WHOLE"	"Milk, dry, not reconstituted, whole"
11812000	"MILK, DRY, NOT RECONSTITUTED, LOW FAT (1_)"	"Milk, dry, not reconstituted, low fat (1_)"
11813000	"MILK, DRY, NOT RECONSTITUTED, FAT FREE (SKIM)"	"Milk, dry, not reconstituted, fat free (skim)"
11825000	"WHEY, SWEET, DRY"	"Whey, sweet, dry"
11830100	"HOT CHOCOLATE _ COCOA, DRY MIX, NOT RECONSTITUTED"	"Hot chocolate _ Cocoa, dry mix, not reconstituted"
11830115	"HOT CHOCOLATE _ COCOA, DRY MIX, NO SUGAR ADDED, NOT RECONSTI"	"Hot chocolate _ Cocoa, dry mix, no sugar added, not reconstituted"
11830150	"COCOA POWDER, NOT RECONSTITUTED"	"Cocoa powder, not reconstituted"
11830160	"CHOCOLATE BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED"	"Chocolate beverage powder, dry mix, not reconstituted"
11830165	"CHOCOLATE BEVERAGE POWDER, REDUCED SUGAR, DRY MIX, NOT RECON"	"Chocolate beverage powder, reduced sugar, dry mix, not reconstituted"
11830260	"MILK, MALTED, DRY MIX, NOT RECONSTITUTED"	"Milk, malted, dry mix, not reconstituted"
11830400	"STRAWBERRY BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED"	"Strawberry beverage powder, dry mix, not reconstituted"
12100100	"CREAM, NS AS TO LIGHT, HEAVY, OR HALF AND HALF"	"Cream, NS as to light, heavy, or half and half"
12110100	"CREAM, LIGHT"	"Cream, light"
